,signage_id,day,name,address,state,popular_time,weekend
42,1206,Wednesday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,657,0.0
43,1206,Monday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,643,0.0
44,1206,Thursday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,564,0.0
45,1206,Friday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,484,0.0
46,1206,Saturday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,468,1.0
47,1206,Tuesday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,438,0.0
48,1206,Sunday,TMpoint Kuala Kubu Bahru,"Jalan Dato Balai,Kampung Tun Abdul Razak,Kuala Kubu Baru,Selangor",Selangor,0,1.0
49,1207,Saturday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,818,1.0
50,1207,Tuesday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,775,0.0
51,1207,Wednesday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,747,0.0
52,1207,Thursday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,671,0.0
53,1207,Monday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,616,0.0
54,1207,Friday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,406,0.0
55,1207,Sunday,TMpoint Bukit Raja ,"Jalan Meru,Kawasan 19,Klang,Selangor",Selangor,0,1.0
